LATITUDE,LONGITUDE
45.4310270000,-75.6922460000
45.4310120000,-75.6922690000
45.4310010000,-75.6922880000
45.4309930000,-75.6923070000
45.4309890000,-75.6923270000
45.4309870000,-75.6923440000
45.4309850000,-75.6923590000
45.4309800000,-75.6923720000
45.4309740000,-75.6923880000
45.4309700000,-75.6924030000
45.4309770000,-75.6924150000
45.4309670000,-75.6924190000
45.4309600000,-75.6924350000
45.4309490000,-75.6924640000
45.4309380000,-75.6924990000
45.4309320000,-75.6925460000
45.4309260000,-75.6925900000
45.4309160000,-75.6926360000
45.4308930000,-75.6926810000
45.4308640000,-75.6927170000
45.4308310000,-75.6927370000
45.4307920000,-75.6927360000
45.4307490000,-75.6927210000
45.4307050000,-75.6926960000
45.4306630000,-75.6926670000
45.4306260000,-75.6926390000
45.4305910000,-75.6926100000
45.4305590000,-75.6925850000
45.4305300000,-75.6925610000
45.4305030000,-75.6925370000
45.4304790000,-75.6925150000
45.4304550000,-75.6924920000
45.4304350000,-75.6924720000
45.4304190000,-75.6924530000
45.4304040000,-75.6924360000
45.4303880000,-75.6924210000
45.4303730000,-75.6924090000
45.4303610000,-75.6923980000
45.4303490000,-75.6923880000
45.4303370000,-75.6923720000
45.4303260000,-75.6923590000
45.4303180000,-75.6923490000
45.4303170000,-75.6923280000
45.4303020000,-75.6923250000
45.4302860000,-75.6923200000
45.4302710000,-75.6923100000
45.4302590000,-75.6922970000
45.4302450000,-75.6922830000
45.4302330000,-75.6922710000
45.4302230000,-75.6922590000
45.4302120000,-75.6922470000
45.4302020000,-75.6922350000
45.4301920000,-75.6922250000
45.4301770000,-75.6922130000
45.4301560000,-75.6921930000
45.4301300000,-75.6921670000
45.4301040000,-75.6921410000
45.4300720000,-75.6921090000
45.4300380000,-75.6920760000
45.4300070000,-75.6920470000
45.4299640000,-75.6919900000
45.4299210000,-75.6919520000
45.4298750000,-75.6919080000
45.4298310000,-75.6918660000
45.4297930000,-75.6918220000
45.4297440000,-75.6917840000
45.4296960000,-75.6917510000
45.4296540000,-75.6917240000
45.4296070000,-75.6916880000
45.4295650000,-75.6916430000
45.4295170000,-75.6915980000
45.4294680000,-75.6915650000
45.4294010000,-75.6915610000
45.4293590000,-75.6915250000
45.4293310000,-75.6914640000
45.4292750000,-75.6914540000
45.4292350000,-75.6914200000
45.4292030000,-75.6913920000
45.4291590000,-75.6913540000
45.4291250000,-75.6913120000
45.4290810000,-75.6912740000
45.4290390000,-75.6912360000
45.4289890000,-75.6912100000
45.4289470000,-75.6911740000
45.4289110000,-75.6911450000
45.4288740000,-75.6911160000
45.4288340000,-75.6910900000
45.4287950000,-75.6910620000
45.4287580000,-75.6910390000
45.4287230000,-75.6910120000
45.4286870000,-75.6909780000
45.4286500000,-75.6909430000
45.4286170000,-75.6909040000
45.4285880000,-75.6908660000
45.4285610000,-75.6908310000
45.4285360000,-75.6907960000
45.4285180000,-75.6907590000
45.4285010000,-75.6907270000
45.4284830000,-75.6906980000
45.4284640000,-75.6906730000
45.4284440000,-75.6906520000
45.4284260000,-75.6906320000
45.4284100000,-75.6906130000
45.4283960000,-75.6905960000
45.4283820000,-75.6905860000
45.4283660000,-75.6905830000
45.4283460000,-75.6905930000
45.4283280000,-75.6906020000
45.4283150000,-75.6906140000
45.4282980000,-75.6906270000
45.4282850000,-75.6906420000
45.4282690000,-75.6906400000
45.4282510000,-75.6906290000
45.4282370000,-75.6906090000
45.4282240000,-75.6905890000
45.4282100000,-75.6905700000
45.4281940000,-75.6905570000
45.4281830000,-75.6905450000
45.4281780000,-75.6905340000
45.4281670000,-75.6905260000
45.4281540000,-75.6905150000
45.4281440000,-75.6905050000
45.4281500000,-75.6904600000
45.4281300000,-75.6904380000
45.4281020000,-75.6904110000
45.4280730000,-75.6903860000
45.4280410000,-75.6903590000
45.4280050000,-75.6903330000
45.4279670000,-75.6903040000
45.4279320000,-75.6902740000
45.4279020000,-75.6902440000
45.4278790000,-75.6902160000
45.4278450000,-75.6901780000
45.4277610000,-75.6901100000
45.4277020000,-75.6900640000
45.4276550000,-75.6900190000
45.4276000000,-75.6899870000
45.4275300000,-75.6899880000
45.4274780000,-75.6899440000
45.4274030000,-75.6898810000
45.4273500000,-75.6898380000
45.4273060000,-75.6898010000
45.4272400000,-75.6897460000
45.4271900000,-75.6897040000
45.4271440000,-75.6896660000
45.4271120000,-75.6896360000
45.4270800000,-75.6896080000
45.4270450000,-75.6895640000
45.4270100000,-75.6895180000
45.4269750000,-75.6894700000
45.4269420000,-75.6894230000
45.4269090000,-75.6893780000
45.4268750000,-75.6893340000
45.4268420000,-75.6892940000
45.4268050000,-75.6892560000
45.4267650000,-75.6892170000
45.4267260000,-75.6891820000
45.4266870000,-75.6891470000
45.4266480000,-75.6891100000
45.4266070000,-75.6890780000
45.4265650000,-75.6890520000
45.4265180000,-75.6890320000
45.4264720000,-75.6890340000
45.4264290000,-75.6890530000
45.4263910000,-75.6890920000
45.4263530000,-75.6891370000
45.4263190000,-75.6891820000
45.4262850000,-75.6892270000
45.4262530000,-75.6892760000
45.4262330000,-75.6893230000
45.4262190000,-75.6893690000
45.4262090000,-75.6894220000
45.4261970000,-75.6894790000
45.4261850000,-75.6895360000
45.4261730000,-75.6895930000
45.4261490000,-75.6896460000
45.4261190000,-75.6897070000
45.4261020000,-75.6897510000
45.4260860000,-75.6897710000
45.4260680000,-75.6897780000
45.4260500000,-75.6897760000
45.4260240000,-75.6897540000
45.4259920000,-75.6897180000
45.4259580000,-75.6896780000
45.4259280000,-75.6896430000
45.4258990000,-75.6896090000
45.4258640000,-75.6895830000
45.4258240000,-75.6895690000
45.4257820000,-75.6895590000
45.4257450000,-75.6895490000
45.4257170000,-75.6895370000
45.4257000000,-75.6895170000
45.4256900000,-75.6894990000
45.4256840000,-75.6894830000
45.4256800000,-75.6894710000
45.4256950000,-75.6894240000
45.4256910000,-75.6894030000
45.4256870000,-75.6893800000
45.4256840000,-75.6893630000
45.4256900000,-75.6894010000
45.4256890000,-75.6894180000
45.4256760000,-75.6894380000
45.4256420000,-75.6894880000
45.4256320000,-75.6894860000
45.4256250000,-75.6894940000
45.4256140000,-75.6895080000
45.4255920000,-75.6895040000
45.4255720000,-75.6895180000
45.4255550000,-75.6895350000
45.4255430000,-75.6895450000
45.4255260000,-75.6895560000
45.4255090000,-75.6895720000
45.4254980000,-75.6895960000
45.4254880000,-75.6896240000
45.4254770000,-75.6896570000
45.4254640000,-75.6896910000
45.4254490000,-75.6897250000
45.4254320000,-75.6897600000
45.4254120000,-75.6898020000
45.4253860000,-75.6898520000
45.4253550000,-75.6899060000
45.4253190000,-75.6899640000
45.4252750000,-75.6900270000
45.4252300000,-75.6900930000
45.4251840000,-75.6901610000
45.4251390000,-75.6902310000
45.4251150000,-75.6903210000
45.4250840000,-75.6903990000
45.4250510000,-75.6904830000
45.4250230000,-75.6905530000
45.4249900000,-75.6906370000
45.4249610000,-75.6907100000
45.4249310000,-75.6907880000
45.4249010000,-75.6908630000
45.4248720000,-75.6909380000
45.4248520000,-75.6909880000
45.4248150000,-75.6910890000
45.4247800000,-75.6911890000
45.4247540000,-75.6912710000
45.4247170000,-75.6913880000
45.4246950000,-75.6914580000
45.4246730000,-75.6915280000
45.4246450000,-75.6916160000
45.4246280000,-75.6916710000
45.4246020000,-75.6917340000
45.4245850000,-75.6917970000
45.4245710000,-75.6918470000
45.4245640000,-75.6918630000
45.4245550000,-75.6918940000
45.4245600000,-75.6919290000
45.4245420000,-75.6919590000
45.4245190000,-75.6919830000
45.4244940000,-75.6920070000
45.4244530000,-75.6920160000
45.4244140000,-75.6920270000
45.4243840000,-75.6920310000
45.4243660000,-75.6920230000
45.4243570000,-75.6920160000
45.4243580000,-75.6919930000
45.4243660000,-75.6919340000
45.4243550000,-75.6919270000
45.4243390000,-75.6919210000
45.4243210000,-75.6919280000
45.4243110000,-75.6919470000
45.4243080000,-75.6919730000
45.4243100000,-75.6919920000
45.4243040000,-75.6920110000
45.4242920000,-75.6920100000
45.4242830000,-75.6920160000
45.4242700000,-75.6920460000
45.4242800000,-75.6920480000
45.4242930000,-75.6920520000
45.4243100000,-75.6920550000
45.4243260000,-75.6920590000
45.4243420000,-75.6920600000
45.4243590000,-75.6920590000
45.4243740000,-75.6920560000
45.4243910000,-75.6920550000
45.4244060000,-75.6920590000
45.4244150000,-75.6920790000
45.4244200000,-75.6921070000
45.4244210000,-75.6921310000
45.4244180000,-75.6921460000
45.4244140000,-75.6921650000
45.4244090000,-75.6921770000
45.4244060000,-75.6921990000
45.4244110000,-75.6922380000
45.4244280000,-75.6922830000
45.4244550000,-75.6923250000
45.4244870000,-75.6923630000
45.4245230000,-75.6923970000
45.4245760000,-75.6924120000
45.4246160000,-75.6924400000
45.4246500000,-75.6924700000
45.4246830000,-75.6924950000
45.4247190000,-75.6925270000
45.4247540000,-75.6925520000
45.4247790000,-75.6925860000
45.4247920000,-75.6926180000
45.4248070000,-75.6926510000
45.4248320000,-75.6926870000
45.4248600000,-75.6927290000
45.4248890000,-75.6927680000
45.4249160000,-75.6928020000
45.4249430000,-75.6928250000
45.4249660000,-75.6928430000
45.4249890000,-75.6928550000
45.4250090000,-75.6928670000
45.4250320000,-75.6928870000
45.4250570000,-75.6929120000
45.4250830000,-75.6929360000
45.4251130000,-75.6929580000
45.4251450000,-75.6929820000
45.4251770000,-75.6930040000
45.4252060000,-75.6930250000
45.4252310000,-75.6930490000
45.4252490000,-75.6930710000
45.4252670000,-75.6931010000
45.4252870000,-75.6931380000
45.4253060000,-75.6931770000
45.4253250000,-75.6932150000
45.4253510000,-75.6932550000
45.4253830000,-75.6932880000
45.4254140000,-75.6933100000
45.4254460000,-75.6933260000
45.4254620000,-75.6933340000
45.4254540000,-75.6933530000
45.4254430000,-75.6933640000
45.4254340000,-75.6933720000
45.4254320000,-75.6933950000
45.4254470000,-75.6934010000
45.4254590000,-75.6934080000
45.4254660000,-75.6934190000
45.4254670000,-75.6934350000
45.4254640000,-75.6934550000
45.4254560000,-75.6934870000
45.4254410000,-75.6935330000
45.4254220000,-75.6935870000
45.4254040000,-75.6936470000
45.4253820000,-75.6937050000
45.4253620000,-75.6937570000
45.4253450000,-75.6938040000
45.4253310000,-75.6938480000
45.4253240000,-75.6938860000
45.4253210000,-75.6939130000
45.4253200000,-75.6939280000
45.4253220000,-75.6939440000
45.4253330000,-75.6939890000
45.4253130000,-75.6940230000
45.4252970000,-75.6940590000
45.4252820000,-75.6940910000
45.4252700000,-75.6941230000
45.4252530000,-75.6941540000
45.4252320000,-75.6941860000
45.4252090000,-75.6942230000
45.4251840000,-75.6942670000
45.4251570000,-75.6943150000
45.4251340000,-75.6943600000
45.4251090000,-75.6944090000
45.4250810000,-75.6944590000
45.4250550000,-75.6945040000
45.4250270000,-75.6945490000
45.4249980000,-75.6945950000
45.4249700000,-75.6946430000
45.4249410000,-75.6946890000
45.4249160000,-75.6947430000
45.4248950000,-75.6947950000
45.4248750000,-75.6948460000
45.4248560000,-75.6948970000
45.4248390000,-75.6949440000
45.4248240000,-75.6949900000
45.4248120000,-75.6950300000
45.4248020000,-75.6950640000
45.4247940000,-75.6950930000
45.4247880000,-75.6951170000
45.4247830000,-75.6951380000
45.4247800000,-75.6951560000
45.4247790000,-75.6951680000
45.4247660000,-75.6951570000
45.4247530000,-75.6951370000
45.4247340000,-75.6951060000
45.4247130000,-75.6950620000
45.4246890000,-75.6950150000
45.4246650000,-75.6949740000
45.4246370000,-75.6949400000
45.4246080000,-75.6949140000
45.4245760000,-75.6948920000
45.4245410000,-75.6948770000
45.4245090000,-75.6948750000
45.4244790000,-75.6948810000
45.4244550000,-75.6948890000
45.4244350000,-75.6948960000
45.4244170000,-75.6949010000
45.4244020000,-75.6949050000
45.4243890000,-75.6949070000
45.4243740000,-75.6949030000
45.4243570000,-75.6948970000
45.4243430000,-75.6948940000
45.4243300000,-75.6948970000
45.4243180000,-75.6949060000
45.4243050000,-75.6949160000
45.4242910000,-75.6949230000
45.4242820000,-75.6949250000
45.4242680000,-75.6949130000
45.4242480000,-75.6948930000
45.4242250000,-75.6948790000
45.4241900000,-75.6948700000
45.4241460000,-75.6948650000
45.4241010000,-75.6948600000
45.4240570000,-75.6948520000
45.4240110000,-75.6948480000
45.4239660000,-75.6948480000
45.4239200000,-75.6948550000
45.4238740000,-75.6948670000
45.4238350000,-75.6948850000
45.4238040000,-75.6949050000
45.4237720000,-75.6949190000
45.4237370000,-75.6949290000
45.4237080000,-75.6949400000
45.4236770000,-75.6949560000
45.4236430000,-75.6949740000
45.4236040000,-75.6949910000
45.4235600000,-75.6950060000
45.4235180000,-75.6950210000
45.4234720000,-75.6950310000
45.4234240000,-75.6950370000
45.4233700000,-75.6950260000
45.4233150000,-75.6950040000
45.4232590000,-75.6949770000
45.4231990000,-75.6949650000
45.4231350000,-75.6949700000
45.4230780000,-75.6949970000
45.4230220000,-75.6950450000
45.4229670000,-75.6951060000
45.4229170000,-75.6951720000
45.4229230000,-75.6953030000
45.4228890000,-75.6953780000
45.4228580000,-75.6954490000
45.4228370000,-75.6954950000
45.4228050000,-75.6955670000
45.4227740000,-75.6956380000
45.4227460000,-75.6957000000
45.4227110000,-75.6957780000
45.4226820000,-75.6958440000
45.4226620000,-75.6958890000
45.4226600000,-75.6959620000
45.4226330000,-75.6960150000
45.4226130000,-75.6960630000
45.4225950000,-75.6961150000
45.4225710000,-75.6961760000
45.4225550000,-75.6962140000
45.4225540000,-75.6962610000
45.4225380000,-75.6963010000
45.4224950000,-75.6963250000
45.4224540000,-75.6963330000
45.4224190000,-75.6963460000
45.4223900000,-75.6963550000
45.4223690000,-75.6963630000
45.4223490000,-75.6963630000
45.4223340000,-75.6963700000
45.4223180000,-75.6963860000
45.4223150000,-75.6964170000
45.4223170000,-75.6964540000
45.4223290000,-75.6965020000
45.4223380000,-75.6965440000
45.4223450000,-75.6965780000
45.4223490000,-75.6966050000
45.4223510000,-75.6966230000
45.4223530000,-75.6966420000
45.4223400000,-75.6966270000
45.4223280000,-75.6966260000
45.4223030000,-75.6966240000
45.4222630000,-75.6966340000
45.4222200000,-75.6966340000
45.4221960000,-75.6966170000
45.4221770000,-75.6966050000
45.4221550000,-75.6965980000
45.4221300000,-75.6966040000
45.4221020000,-75.6966310000
45.4220660000,-75.6966560000
45.4220270000,-75.6966890000
45.4219920000,-75.6967400000
45.4219610000,-75.6967930000
45.4219430000,-75.6968310000
45.4219340000,-75.6968590000
45.4219260000,-75.6968730000
45.4219310000,-75.6968910000
45.4219410000,-75.6969020000
45.4219540000,-75.6969030000
45.4219590000,-75.6969260000
45.4219510000,-75.6969390000
45.4219370000,-75.6969520000
45.4219210000,-75.6969580000
45.4219090000,-75.6969650000
45.4219000000,-75.6969710000
45.4218830000,-75.6969750000
45.4218730000,-75.6969710000
45.4218640000,-75.6969640000
45.4218440000,-75.6969430000
45.4218190000,-75.6969100000
45.4217930000,-75.6968790000
45.4217640000,-75.6968600000
45.4217420000,-75.6968570000
45.4217230000,-75.6968660000
45.4217090000,-75.6968770000
45.4217000000,-75.6968870000
45.4216910000,-75.6968970000
45.4216810000,-75.6968920000
45.4216680000,-75.6968660000
45.4216470000,-75.6968310000
45.4216240000,-75.6967900000
45.4216050000,-75.6967410000
45.4215890000,-75.6966920000
45.4215680000,-75.6966520000
45.4215390000,-75.6966330000
45.4215060000,-75.6966320000
45.4214710000,-75.6966820000
45.4214360000,-75.6967580000
45.4214110000,-75.6968430000
45.4213710000,-75.6968330000
45.4213530000,-75.6968760000
45.4212730000,-75.6970670000
45.4212390000,-75.6971470000
45.4212100000,-75.6972150000
45.4211800000,-75.6972880000
45.4211480000,-75.6973640000
45.4211190000,-75.6974310000
45.4210900000,-75.6975000000
45.4210640000,-75.6975630000
45.4210320000,-75.6976390000
45.4209970000,-75.6977210000
45.4209660000,-75.6977950000
45.4209340000,-75.6978710000
45.4209060000,-75.6979380000
45.4209370000,-75.6978900000
45.4209400000,-75.6979090000
45.4209640000,-75.6978910000
45.4209710000,-75.6978720000
45.4209950000,-75.6978390000
45.4210240000,-75.6978000000
45.4210430000,-75.6977730000
45.4210540000,-75.6977540000
45.4210670000,-75.6977320000
45.4210830000,-75.6977080000
45.4211070000,-75.6976760000
45.4211330000,-75.6976430000
45.4211590000,-75.6976120000
45.4211840000,-75.6975840000
45.4212060000,-75.6975600000
45.4212290000,-75.6975380000
45.4212530000,-75.6975200000
45.4212690000,-75.6975050000
45.4212810000,-75.6974950000
45.4212930000,-75.6974880000
45.4213060000,-75.6974850000
45.4213190000,-75.6974850000
45.4213410000,-75.6974830000
45.4213560000,-75.6974750000
45.4213660000,-75.6974700000
45.4213800000,-75.6974650000
45.4214010000,-75.6974600000
45.4213920000,-75.6974470000
45.4213740000,-75.6974510000
45.4213650000,-75.6974530000
45.4213530000,-75.6974730000
45.4213610000,-75.6974980000
45.4213680000,-75.6975250000
45.4213770000,-75.6975580000
45.4213870000,-75.6975960000
45.4213970000,-75.6976460000
45.4214100000,-75.6977070000
45.4214290000,-75.6977810000
45.4214450000,-75.6978550000
45.4214480000,-75.6979290000
45.4214170000,-75.6979920000
45.4213610000,-75.6980600000
45.4212970000,-75.6981300000
45.4212350000,-75.6981970000
45.4211720000,-75.6982600000
45.4211010000,-75.6983250000
45.4210280000,-75.6983930000
45.4209650000,-75.6984680000
45.4209140000,-75.6985450000
45.4208720000,-75.6986220000
45.4208350000,-75.6987030000
45.4207980000,-75.6987820000
45.4207610000,-75.6988670000
45.4207260000,-75.6989550000
45.4206960000,-75.6990360000
45.4206700000,-75.6991170000
45.4206410000,-75.6991900000
45.4206110000,-75.6992590000
45.4205890000,-75.6993300000
45.4205610000,-75.6993950000
45.4205340000,-75.6994590000
45.4205070000,-75.6995140000
45.4204850000,-75.6995640000
45.4204690000,-75.6996160000
45.4204370000,-75.6996600000
45.4204070000,-75.6997030000
45.4203760000,-75.6997460000
45.4203500000,-75.6997930000
45.4203280000,-75.6998420000
45.4203070000,-75.6998890000
45.4202880000,-75.6999310000
45.4202730000,-75.6999730000
45.4202590000,-75.7000110000
45.4202490000,-75.7000460000
45.4202400000,-75.7000740000
45.4202360000,-75.7000970000
45.4202350000,-75.7001130000
45.4202390000,-75.7001220000
45.4202480000,-75.7001260000
45.4202620000,-75.7001250000
45.4202740000,-75.7001270000
45.4202840000,-75.7001290000
45.4202940000,-75.7001400000
45.4203000000,-75.7001650000
45.4202630000,-75.7001830000
45.4202180000,-75.7001960000
45.4201670000,-75.7001990000
45.4199150000,-75.7001030000
45.4198790000,-75.7000780000
45.4198400000,-75.7000510000
45.4197970000,-75.7000240000
45.4197580000,-75.6999950000
45.4197180000,-75.6999680000
45.4196770000,-75.6999460000
45.4196420000,-75.6999180000
45.4196100000,-75.6998960000
45.4195770000,-75.6998790000
45.4195470000,-75.6998680000
45.4195220000,-75.6998630000
45.4194980000,-75.6998650000
45.4194700000,-75.6998730000
45.4194410000,-75.6998870000
45.4194160000,-75.6999010000
45.4194010000,-75.6999080000
45.4193910000,-75.6999130000
45.4193800000,-75.6999220000
45.4193650000,-75.6999320000
45.4193530000,-75.6999410000
45.4193390000,-75.6999490000
45.4193090000,-75.6999710000
45.4192850000,-75.7000060000
45.4192710000,-75.7000380000
45.4192720000,-75.7000540000
45.4192550000,-75.7000600000
45.4192450000,-75.7000500000
45.4192470000,-75.7000360000
45.4192430000,-75.7000360000
45.4192400000,-75.7000490000
45.4192290000,-75.7000680000
45.4192090000,-75.7000630000
45.4191990000,-75.7000560000
45.4191900000,-75.7000460000
45.4191800000,-75.7000380000
45.4191640000,-75.7000300000
45.4191440000,-75.7000230000
45.4191320000,-75.7000150000
45.4191090000,-75.7000080000
45.4190810000,-75.7000050000
45.4190670000,-75.6999940000
45.4190570000,-75.6999780000
45.4190260000,-75.6999790000
45.4190140000,-75.6999740000
45.4190000000,-75.6999630000
45.4189850000,-75.6999450000
45.4190140000,-75.6999070000
45.4190510000,-75.6998680000
45.4191510000,-75.6997770000
45.4191760000,-75.6997660000
45.4191970000,-75.6997570000
45.4192050000,-75.6997500000
45.4192140000,-75.6997430000
45.4192140000,-75.6997160000
45.4192060000,-75.6997020000
45.4191890000,-75.6996900000
45.4191780000,-75.6996810000
45.4191700000,-75.6996690000
45.4191670000,-75.6996480000
45.4191550000,-75.6996290000
45.4191660000,-75.6996460000
45.4191540000,-75.6996520000
45.4191370000,-75.6996570000
45.4191160000,-75.6996530000
45.4191030000,-75.6996500000
45.4190920000,-75.6996270000
45.4191130000,-75.6995950000
45.4191360000,-75.6995560000
45.4191580000,-75.6995230000
45.4191600000,-75.6995070000
45.4191620000,-75.6994860000
45.4191530000,-75.6994660000
45.4191400000,-75.6994690000
45.4191230000,-75.6994740000
45.4191430000,-75.6994500000
45.4191400000,-75.6994620000
45.4191580000,-75.6994460000
45.4191360000,-75.6994560000
45.4191300000,-75.6994640000
45.4191030000,-75.6994530000
45.4190730000,-75.6994290000
45.4190660000,-75.6994130000
45.4190510000,-75.6994220000
45.4190270000,-75.6994510000
45.4190100000,-75.6994770000
45.4189980000,-75.6994930000
45.4189690000,-75.6995640000
45.4189400000,-75.6996540000
45.4189300000,-75.6997870000
45.4189400000,-75.6998350000
45.4189680000,-75.6998520000
45.4190050000,-75.6998510000
45.4194440000,-75.6993900000
45.4195060000,-75.6992430000
45.4196000000,-75.6991800000
45.4196420000,-75.6990820000
45.4196760000,-75.6990000000
45.4196660000,-75.6990240000
45.4196960000,-75.6989530000
45.4197220000,-75.6988920000
45.4197470000,-75.6988330000
45.4197650000,-75.6987900000
45.4197890000,-75.6987350000
45.4198120000,-75.6986790000
45.4198370000,-75.6986210000
45.4198540000,-75.6985820000
45.4198680000,-75.6985480000
45.4198830000,-75.6985130000
45.4198980000,-75.6984770000
45.4199140000,-75.6984410000
45.4199300000,-75.6984030000
45.4199480000,-75.6983620000
45.4199640000,-75.6983220000
45.4199860000,-75.6982720000
45.4200040000,-75.6982280000
45.4200230000,-75.6981840000
45.4200400000,-75.6981450000
45.4200540000,-75.6981120000
45.4200670000,-75.6980820000
45.4200830000,-75.6980430000
45.4200970000,-75.6980100000
45.4201040000,-75.6979940000
45.4200970000,-75.6980110000
45.4200870000,-75.6980330000
45.4200690000,-75.6980410000
45.4200800000,-75.6980130000
45.4200900000,-75.6979890000
45.4201260000,-75.6979430000
45.4200990000,-75.6979800000
45.4200780000,-75.6980350000
45.4200650000,-75.6980860000
45.4200740000,-75.6980650000
45.4200950000,-75.6980160000
45.4200760000,-75.6980060000
45.4201090000,-75.6980230000
45.4201530000,-75.6980150000
45.4202030000,-75.6979700000
45.4202490000,-75.6979090000
45.4202940000,-75.6978370000
45.4201910000,-75.6977880000
45.4202870000,-75.6975700000
45.4203390000,-75.6974550000
45.4203920000,-75.6973370000
45.4204280000,-75.6972550000
45.4204650000,-75.6971740000
45.4205080000,-75.6970780000
45.4205370000,-75.6970120000
45.4205860000,-75.6969020000
45.4206200000,-75.6968270000
45.4206600000,-75.6967390000
45.4206920000,-75.6966670000
45.4207200000,-75.6966050000
45.4207500000,-75.6965370000
45.4207890000,-75.6964530000
45.4208360000,-75.6963490000
45.4208770000,-75.6962590000
45.4209220000,-75.6961600000
45.4209670000,-75.6960590000
45.4210040000,-75.6959780000
45.4210400000,-75.6958990000
45.4210600000,-75.6958550000
45.4211370000,-75.6956610000
45.4211310000,-75.6956770000
45.4211330000,-75.6957290000
45.4212110000,-75.6959850000
45.4212400000,-75.6960100000
45.4212850000,-75.6960490000
45.4215280000,-75.6959010000
45.4215550000,-75.6959440000
45.4215790000,-75.6959790000
45.4215990000,-75.6960180000
45.4216200000,-75.6960460000
45.4216420000,-75.6960710000
45.4216680000,-75.6960920000
45.4216950000,-75.6961140000
45.4217170000,-75.6961400000
45.4217390000,-75.6961700000
45.4217630000,-75.6961970000
45.4217780000,-75.6962210000
45.4217980000,-75.6962430000
45.4218280000,-75.6962690000
45.4218610000,-75.6962970000
45.4218950000,-75.6963260000
45.4219320000,-75.6963580000
45.4219610000,-75.6963930000
45.4219850000,-75.6964280000
45.4220090000,-75.6964650000
45.4220340000,-75.6965010000
45.4220570000,-75.6965400000
45.4220810000,-75.6965780000
45.4221040000,-75.6966140000
45.4221300000,-75.6966520000
45.4221620000,-75.6966840000
45.4221960000,-75.6967140000
45.4222340000,-75.6967360000
45.4222620000,-75.6967570000
45.4222840000,-75.6967770000
45.4223110000,-75.6967990000
45.4223400000,-75.6968260000
45.4223710000,-75.6968550000
45.4224040000,-75.6968840000
45.4224390000,-75.6969090000
45.4224730000,-75.6969310000
45.4225090000,-75.6969520000
