LATITUDE,LONGITUDE
45.4340400000,-75.6922620000
45.4339990000,-75.6922680000
45.4339870000,-75.6922710000
45.4339790000,-75.6922780000
45.4339810000,-75.6922990000
45.4339900000,-75.6923050000
45.4340010000,-75.6923030000
45.4340040000,-75.6922870000
45.4339960000,-75.6922800000
45.4340240000,-75.6922850000
45.4340370000,-75.6922890000
45.4340450000,-75.6923120000
45.4340060000,-75.6922850000
45.4339930000,-75.6922730000
45.4339740000,-75.6922600000
45.4339500000,-75.6922490000
45.4339180000,-75.6922320000
45.4338860000,-75.6922130000
45.4338470000,-75.6921910000
45.4338130000,-75.6921690000
45.4337760000,-75.6921460000
45.4337330000,-75.6921190000
45.4336900000,-75.6920880000
45.4336480000,-75.6920540000
45.4336110000,-75.6920190000
45.4335760000,-75.6919840000
45.4335390000,-75.6919500000
45.4335030000,-75.6919210000
45.4334650000,-75.6918870000
45.4334260000,-75.6918520000
45.4333880000,-75.6918160000
45.4333330000,-75.6917640000
45.4333000000,-75.6917290000
45.4332590000,-75.6916950000
45.4332250000,-75.6916630000
45.4331890000,-75.6916280000
45.4331480000,-75.6915900000
45.4331070000,-75.6915550000
45.4330670000,-75.6915250000
45.4330250000,-75.6914890000
45.4329840000,-75.6914540000
45.4329410000,-75.6914200000
45.4328990000,-75.6913900000
45.4328600000,-75.6913630000
45.4328180000,-75.6913330000
45.4327750000,-75.6913010000
45.4327330000,-75.6912680000
45.4326920000,-75.6912320000
45.4326530000,-75.6911980000
45.4326100000,-75.6911630000
45.4325680000,-75.6911300000
45.4325270000,-75.6911000000
45.4324820000,-75.6910650000
45.4324380000,-75.6910320000
45.4323930000,-75.6910020000
45.4323490000,-75.6909680000
45.4323060000,-75.6909340000
45.4322630000,-75.6908990000
45.4322220000,-75.6908660000
45.4321820000,-75.6908340000
45.4321440000,-75.6908040000
45.4321100000,-75.6907800000
45.4320790000,-75.6907560000
45.4320480000,-75.6907340000
45.4320190000,-75.6907120000
45.4319920000,-75.6906900000
45.4319670000,-75.6906710000
45.4319440000,-75.6906550000
45.4319230000,-75.6906430000
45.4319000000,-75.6906400000
45.4318710000,-75.6906460000
45.4318410000,-75.6906700000
45.4318130000,-75.6907110000
45.4317870000,-75.6907620000
45.4317590000,-75.6908160000
45.4317290000,-75.6908660000
45.4316930000,-75.6909120000
45.4316550000,-75.6909550000
45.4316160000,-75.6909970000
45.4315780000,-75.6910470000
45.4315470000,-75.6911010000
45.4315230000,-75.6911580000
45.4315020000,-75.6912190000
45.4314800000,-75.6912780000
45.4314580000,-75.6913380000
45.4314330000,-75.6913960000
45.4314080000,-75.6914490000
45.4313830000,-75.6915030000
45.4313560000,-75.6915550000
45.4313260000,-75.6915990000
45.4312970000,-75.6916380000
45.4312700000,-75.6916800000
45.4312460000,-75.6917260000
45.4312240000,-75.6917740000
45.4312050000,-75.6918220000
45.4311860000,-75.6918690000
45.4311680000,-75.6919170000
45.4311520000,-75.6919600000
45.4311350000,-75.6920000000
45.4311180000,-75.6920370000
45.4310990000,-75.6920750000
45.4310830000,-75.6921130000
45.4310700000,-75.6921510000
45.4310590000,-75.6921870000
45.4310470000,-75.6922200000
